번호,제목,책 소개 요약
11,월요일 수요일 토요일,"페트라 펠리니는 일주일에 세 번 서로의 삶에 머문 그 찬란한 시간들의 기록 22페이지의 원고로 오스트리아 지역 문학상을 수상하고, 독일 13개 출판사가 판권을 따내기 위해 경합을 벌인 화제작, 월요일 수요일 토요일 이 마침내 한국에서 출간되었다. 작가는 출간 직후 한 인터뷰에서 이 소설을 쓴 것은, 어쩌면 약한 존재를 보호하고 싶다는 내면의 욕망 때문일지도 모르겠다 고 밝혔다. 독자에게도 올해 단 한 권만 읽는다면 반드시 이 책 이라는 뜨거운 호평을 받으며 출간 즉시 베스트셀러에 올랐다."
12,박곰희 연금 부자 수업,"베스트셀러 박곰희 투자법 출간 5년 만에 돌아온 금융 유튜버 박곰희가 이번엔 연금으로 평생 월급 받는 비밀을 공개한다. 복잡한 투자 지식이나 목돈 없이도 4개의 절세 통장과 검증된 투자 방법만으로 누구나 따라 할 수 있는 연금 부자 로드맵을 완성했다. 이 책의 가장 혁신적인 부분은 은퇴 후 안정적인 자산 인출 전략으로 4% 룰 을 적용했다는 점이다. 30~40대 직장인부터 50대 예비 은퇴자까지, 노후 준비를 시작하고 싶지만 어디서부터 손대야 할지 모르는 투자 초보자들에게 이 책은 가장 현실적이고 검증된 해답을 제시한다."
13,렛뎀 이론,"멜 로빈스는 이 책에서 중요하지도 않은 것들을 신경 쓰느라 나를 소모하는 싸움에서 벗어나, 진정 중요한 것-즉 자기 자신, 자기 행복, 목표, 인생-에 집중하는 방법을 알려준다. 통제할 수 없는 일에 에너지를 낭비하지 않는 법, 끊임없는 비교를 멈추고 두려움과 자기 의심을 극복하는 법, 타인의 기대나 평가에서 자유로워지는 법, 건강한 인간관계와 깊은 유대를 만드는 법, 중요한 목표를 자신 있게 추구하는 법, 스트레스에 대한 회복력을 기르는 법, 나만의 성공과 성취의 길을 찾는 법 등 이 책은 저자가 SNS에 올린 짧은 영상이 수천만 뷰를 기록하고, Let Them 타투 인증샷이 유행처럼 번지면서 그 화제성을 업고 출간하게 되었다."
14,편안함의 습격,"행동 변화 전문가이자 건강 분야 저널리스트인 마이클 이스터는 북극 알래스카를 비롯해 부탄, 전쟁 지역, 볼리비아 정글 등을 탐험하고, 각 분야 최고의 석학들과 프로 스포츠 선수, 종교 및 환경 지도자에 이르기까지 수천 명의 전문가를 인터뷰하면서 현대인의 건강과 행복, 의미 있는 삶을 탐구해왔다. 그는 인류가 잃어버린 감각, 불편함의 진화적 효용을 탐구하고, 중독, 우울증, 불안, 자살, 비만, 외로움증후군, 번아웃, 삶의 의미 상실 등 현대인들이 당면한 문제가 어떻게 편안함과 연결되는지 심도 있게 분석한다."
15,모순,"양귀자 소설의 힘을 보여준 베스트셀러 모순은 1998년에 초판이 출간된 이후 132쇄를 찍으며 여전히 많은 사랑을 받고 있는 작품을, 오래도록 소장할 수 있는 양장본으로 새롭게 선보인다. 스물다섯 살 미혼여성 안진진을 통해 모순으로 가득한 우리의 인생을 들여다본다. 이 작품이 출간된 지 15년, 모순으로 얽힌 삶은 여전히 어렵기만 하지만 인생을 그냥 흘려보내고 있는 많은 사람들에게 새롭게 인생을 돌아보는 계기를 마련해준다."
16,자몽살구클럽,"싱어송라이터 한로로의 첫 번째 단편소설 <자몽살구클럽>은 세 번째 EP 음악 앨범과 연결된 동명의 소설이다. 이 시대는 어른들뿐만 아니라 어린아이들까지 벼랑 끝으로 내몰고 있다는 것, 그 잔인한 현실을 무섭게 직시하는 이야기를 담고 싶었다. 그러나 약 20분 길이의 음악앨범에 그 모든 이야기를 담을 수는 없었다. 그리하여 한로로는 우리에게 긴 호흡의 소설을 선사하게 된 것이다."
17,류수영의 평생 레시피,"자타공인 집밥 마스터 어남선생 류수영이 수년간 자체 개발한 300여 개의 레시피를 추리고 추리고 추려서 한 권의 책으로 펴낸다. 편스토랑을 비롯해 방송에서 소개했던 레시피 중에서 가장 사랑받은 79가지 메뉴를 엄선한 것이다. 재료와 계량 및 소요 시간에 대한 꼼꼼한 점검이 이루어졌으며, 그 결과 좀 더 정교하고 완벽한 레시피로 재탄생했다. 조리도구도 프라이팬, 냄비, 칼 등만 있으면 모든 요리가 가능하며, 그 흔한 오븐이나 에어프라이어 없이 완성할 수 있도록 구성했다."
18,가공범,"1985년 데뷔하여 2025년 작가 데뷔 40주년을 맞이한 고다이 쓰토무를 주인공으로 내세움으로써 새로운 시리즈의 시작을 알린 히가시노 게이고의 장편소설 가공범은 일본 출간 후 이례적으로 빠른 증쇄와 2024년 베스트 미스터리 선정, 2025년 일본미스터리문학 대상 수상, 일본 최대 서점 체인 기노쿠니야·출판 유통사 토한 종합 1위 등의 성과를 거두며 히가시노 매직이 더욱 강력해졌음을 증명해 냈다."
19,어른의 행복은 조용하다,"에세이스트 태수가 2년만의 신작 어른의 행복은 조용하다로 돌아왔다. 저자 태수는 삶의 행복에 가까워지는 방법에 대해 이야기한다. 새로운 것, 짜릿한 것, 남들보다 높은 곳에서 행복하고 싶어 발버둥치는 사람들에게 행복은 꼭 그런 데에만 있는 게 아니라 불행해지지 않는 것에서부터 출발한다고 조용히 알려준다. 어른의 행복은 조용하다 는 요란한 세상에서도 흔들리지 않고 내 삶을 살아가는 튼튼하고 단단한 태도에 대해 말한다."
20,해커스 토익 기출 VOCA(보카),주제별 연상암기로 토익 영단어 30일 완성. 최신 기출 단어 및 출제포인트 수록4. 목표 점수대별 필수 단어로 맞춤 학습 가능 5. 출제율 높은 핵심 단어만 골라 효율적으로 학습6.
